l1d_size,l1i_size,l2_size,Unrolling_Factor,Total_Memory,Cycles
2,2,128,2,132,59999247
2,2,128,4,132,59749307
2,2,128,8,132,59596655
2,2,128,16,132,64475593
2,2,128,32,132,66026167
2,2,256,2,260,59981970
2,2,256,4,260,59741565
2,2,256,8,260,59585113
2,2,256,16,260,64464361
2,2,256,32,260,66027885
2,2,512,2,516,59951665
2,2,512,4,516,59718176
2,2,512,8,516,59563181
2,2,512,16,516,64441844
2,2,512,32,516,66002853
2,2,1024,2,1028,59897274
2,2,1024,4,1028,59733730
2,2,1024,8,1028,59569291
2,2,1024,16,1028,64430428
2,2,1024,32,1028,66040710
2,4,128,2,134,59943807
2,4,128,4,134,59700967
2,4,128,8,134,59545153
2,4,128,16,134,59506766
2,4,128,32,134,64286780
2,4,256,2,262,59928235
2,4,256,4,262,59682457
2,4,256,8,262,59531773
2,4,256,16,262,59489291
2,4,256,32,262,64267069
2,4,512,2,518,59902825
2,4,512,4,518,59665211
2,4,512,8,518,59513882
2,4,512,16,518,59470018
2,4,512,32,518,64256844
2,4,1024,2,1030,59844247
2,4,1024,4,1030,59679155
2,4,1024,8,1030,59516949
2,4,1024,16,1030,59472391
2,4,1024,32,1030,64287661
2,8,128,2,138,59940750
2,8,128,4,138,59694707
2,8,128,8,138,59539597
2,8,128,16,138,59501889
2,8,128,32,138,59574332
2,8,256,2,266,59927244
2,8,256,4,266,59686935
2,8,256,8,266,59530249
2,8,256,16,266,59489549
2,8,256,32,266,59560933
2,8,512,2,522,59900295
2,8,512,4,522,59663576
2,8,512,8,522,59508436
2,8,512,16,522,59469827
2,8,512,32,522,59543794
2,8,1024,2,1034,59842652
2,8,1024,4,1034,59679131
2,8,1024,8,1034,59514410
2,8,1024,16,1034,59467584
2,8,1024,32,1034,59578885
2,16,128,2,146,59928052
2,16,128,4,146,59686668
2,16,128,8,146,59526949
2,16,128,16,146,59489668
2,16,128,32,146,59556697
2,16,256,2,274,59910880
2,16,256,4,274,59669461
2,16,256,8,274,59513047
2,16,256,16,274,59473208
2,16,256,32,274,59560653
2,16,512,2,530,59886960
2,16,512,4,530,59649475
2,16,512,8,530,59498807
2,16,512,16,530,59456656
2,16,512,32,530,59539502
2,16,1024,2,1042,59828348
2,16,1024,4,1042,59663305
2,16,1024,8,1042,59500963
2,16,1024,16,1042,59454006
2,16,1024,32,1042,59567272
2,32,128,2,162,59927879
2,32,128,4,162,59686386
2,32,128,8,162,59526556
2,32,128,16,162,59489515
2,32,128,32,162,59551860
2,32,256,2,290,59911262
2,32,256,4,290,59670813
2,32,256,8,290,59514200
2,32,256,16,290,59473470
2,32,256,32,290,59538855
2,32,512,2,546,59884051
2,32,512,4,546,59650292
2,32,512,8,546,59497551
2,32,512,16,546,59451476
2,32,512,32,546,59542141
2,32,1024,2,1058,59824815
2,32,1024,4,1058,59660720
2,32,1024,8,1058,59493747
2,32,1024,16,1058,59451779
2,32,1024,32,1058,59560451
2,64,128,2,194,59921039
2,64,128,4,194,59675967
2,64,128,8,194,59525250
2,64,128,16,194,59484478
2,64,128,32,194,59554700
2,64,256,2,322,59909141
2,64,256,4,322,59662113
2,64,256,8,322,59509835
2,64,256,16,322,59470763
2,64,256,32,322,59538602
2,64,512,2,578,59883160
2,64,512,4,578,59649565
2,64,512,8,578,59496710
2,64,512,16,578,59450639
2,64,512,32,578,59531577
2,64,1024,2,1090,59823509
2,64,1024,4,1090,59662240
2,64,1024,8,1090,59494297
2,64,1024,16,1090,59452655
2,64,1024,32,1090,59559910
4,2,128,2,134,59837830
4,2,128,4,134,59593151
4,2,128,8,134,59436642
4,2,128,16,134,64333776
4,2,128,32,134,65951439
4,2,256,2,262,59824598
4,2,256,4,262,59576672
4,2,256,8,262,59427772
4,2,256,16,262,64315900
4,2,256,32,262,65910477
4,2,512,2,518,59803388
4,2,512,4,518,59570962
4,2,512,8,518,59416256
4,2,512,16,518,64292968
4,2,512,32,518,65887935
4,2,1024,2,1030,59767287
4,2,1024,4,1030,59596808
4,2,1024,8,1030,59441754
4,2,1024,16,1030,64311797
4,2,1024,32,1030,65907842
4,4,128,2,136,59784705
4,4,128,4,136,59541825
4,4,128,8,136,59387269
4,4,128,16,136,59348435
4,4,128,32,136,64184749
4,4,256,2,264,59771184
4,4,256,4,264,59530702
4,4,256,8,264,59372740
4,4,256,16,264,59332960
4,4,256,32,264,64165402
4,4,512,2,520,59751714
4,4,512,4,520,59518467
4,4,512,8,520,59360194
4,4,512,16,520,59322046
4,4,512,32,520,64141541
4,4,1024,2,1032,59711813
4,4,1024,4,1032,59546287
4,4,1024,8,1032,59384035
4,4,1024,16,1032,59347447
4,4,1024,32,1032,64147900
4,8,128,2,140,59779820
4,8,128,4,140,59538327
4,8,128,8,140,59378314
4,8,128,16,140,59341480
4,8,128,32,140,59464255
4,8,256,2,268,59763227
4,8,256,4,268,59522755
4,8,256,8,268,59364619
4,8,256,16,268,59325076
4,8,256,32,268,59446552
4,8,512,2,524,59743791
4,8,512,4,524,59510211
4,8,512,8,524,59352181
4,8,512,16,524,59313667
4,8,512,32,524,59435573
4,8,1024,2,1036,59705931
4,8,1024,4,1036,59540068
4,8,1024,8,1036,59376936
4,8,1024,16,1036,59331035
4,8,1024,32,1036,59435932
4,16,128,2,148,59768893
4,16,128,4,148,59525664
4,16,128,8,148,59371329
4,16,128,16,148,59331875
4,16,128,32,148,59456177
4,16,256,2,276,59754046
4,16,256,4,276,59514968
4,16,256,8,276,59358126
4,16,256,16,276,59317530
4,16,256,32,276,59438719
4,16,512,2,532,59734765
4,16,512,4,532,59499396
4,16,512,8,532,59346430
4,16,512,16,532,59305043
4,16,512,32,532,59419964
4,16,1024,2,1044,59696889
4,16,1024,4,1044,59526253
4,16,1024,8,1044,59371416
4,16,1024,16,1044,59321167
4,16,1024,32,1044,59436009
4,32,128,2,164,59765168
4,32,128,4,164,59522382
4,32,128,8,164,59363388
4,32,128,16,164,59326716
4,32,128,32,164,59451120
4,32,256,2,292,59749925
4,32,256,4,292,59506809
4,32,256,8,292,59353762
4,32,256,16,292,59313575
4,32,256,32,292,59441967
4,32,512,2,548,59729446
4,32,512,4,548,59499023
4,32,512,8,548,59342373
4,32,512,16,548,59302077
4,32,512,32,548,59419118
4,32,1024,2,1060,59696498
4,32,1024,4,1060,59525572
4,32,1024,8,1060,59371122
4,32,1024,16,1060,59320809
4,32,1024,32,1060,59436009
4,64,128,2,196,59762518
4,64,128,4,196,59517055
4,64,128,8,196,59361405
4,64,128,16,196,59324001
4,64,128,32,196,59450900
4,64,256,2,324,59750158
4,64,256,4,324,59504227
4,64,256,8,324,59353424
4,64,256,16,324,59312036
4,64,256,32,324,59439788
4,64,512,2,580,59730777
4,64,512,4,580,59495857
4,64,512,8,580,59341961
4,64,512,16,580,59296463
4,64,512,32,580,59418870
4,64,1024,2,1092,59691127
4,64,1024,4,1092,59524482
4,64,1024,8,1092,59359987
4,64,1024,16,1092,59325540
4,64,1024,32,1092,59427789
8,2,128,2,138,59797356
8,2,128,4,138,59552648
8,2,128,8,138,59401233
8,2,128,16,138,64297289
8,2,128,32,138,65829403
8,2,256,2,266,59786780
8,2,256,4,266,59546298
8,2,256,8,266,59387997
8,2,256,16,266,64280135
8,2,256,32,266,65824756
8,2,512,2,522,59767334
8,2,512,4,522,59534039
8,2,512,8,522,59379604
8,2,512,16,522,64256299
8,2,512,32,522,65799875
8,2,1024,2,1034,59731337
8,2,1024,4,1034,59561853
8,2,1024,8,1034,59401975
8,2,1024,16,1034,64241065
8,2,1024,32,1034,65823241
8,4,128,2,140,59742718
8,4,128,4,140,59498104
8,4,128,8,140,59346633
8,4,128,16,140,59306255
8,4,128,32,140,64086431
8,4,256,2,268,59730058
8,4,256,4,268,59490318
