Total_Memory,Cycles
132,59999247
132,59749307
132,59596655
132,64475593
132,66026167
260,59981970
260,59741565
260,59585113
260,64464361
260,66027885
516,59951665
516,59718176
516,59563181
516,64441844
516,66002853
1028,59897274
1028,59733730
1028,59569291
1028,64430428
1028,66040710
134,59943807
134,59700967
134,59545153
134,59506766
134,64286780
262,59928235
262,59682457
262,59531773
262,59489291
262,64267069
518,59902825
518,59665211
518,59513882
518,59470018
518,64256844
1030,59844247
1030,59679155
1030,59516949
1030,59472391
1030,64287661
138,59940750
138,59694707
138,59539597
138,59501889
138,59574332
266,59927244
266,59686935
266,59530249
266,59489549
266,59560933
522,59900295
522,59663576
522,59508436
522,59469827
522,59543794
1034,59842652
1034,59679131
1034,59514410
1034,59467584
1034,59578885
146,59928052
146,59686668
146,59526949
146,59489668
146,59556697
274,59910880
274,59669461
274,59513047
274,59473208
274,59560653
530,59886960
530,59649475
530,59498807
530,59456656
530,59539502
1042,59828348
1042,59663305
1042,59500963
1042,59454006
1042,59567272
162,59927879
162,59686386
162,59526556
162,59489515
162,59551860
290,59911262
290,59670813
290,59514200
290,59473470
290,59538855
546,59884051
546,59650292
546,59497551
546,59451476
546,59542141
1058,59824815
1058,59660720
1058,59493747
1058,59451779
1058,59560451
194,59921039
194,59675967
194,59525250
194,59484478
194,59554700
322,59909141
322,59662113
322,59509835
322,59470763
322,59538602
578,59883160
578,59649565
578,59496710
578,59450639
578,59531577
1090,59823509
1090,59662240
1090,59494297
1090,59452655
1090,59559910
134,59837830
134,59593151
134,59436642
134,64333776
134,65951439
262,59824598
262,59576672
262,59427772
262,64315900
262,65910477
518,59803388
518,59570962
518,59416256
518,64292968
518,65887935
1030,59767287
1030,59596808
1030,59441754
1030,64311797
1030,65907842
136,59784705
136,59541825
136,59387269
136,59348435
136,64184749
264,59771184
264,59530702
264,59372740
264,59332960
264,64165402
520,59751714
520,59518467
520,59360194
520,59322046
520,64141541
1032,59711813
1032,59546287
1032,59384035
1032,59347447
1032,64147900
140,59779820
140,59538327
140,59378314
140,59341480
140,59464255
268,59763227
268,59522755
268,59364619
268,59325076
268,59446552
524,59743791
524,59510211
524,59352181
524,59313667
524,59435573
1036,59705931
1036,59540068
1036,59376936
1036,59331035
1036,59435932
148,59768893
148,59525664
148,59371329
148,59331875
148,59456177
276,59754046
276,59514968
276,59358126
276,59317530
276,59438719
532,59734765
532,59499396
532,59346430
532,59305043
532,59419964
1044,59696889
1044,59526253
1044,59371416
1044,59321167
1044,59436009
164,59765168
164,59522382
164,59363388
164,59326716
164,59451120
292,59749925
292,59506809
292,59353762
292,59313575
292,59441967
548,59729446
548,59499023
548,59342373
548,59302077
548,59419118
1060,59696498
1060,59525572
1060,59371122
1060,59320809
1060,59436009
196,59762518
196,59517055
196,59361405
196,59324001
196,59450900
324,59750158
324,59504227
324,59353424
324,59312036
324,59439788
580,59730777
580,59495857
580,59341961
580,59296463
580,59418870
1092,59691127
1092,59524482
1092,59359987
1092,59325540
1092,59427789
138,59797356
138,59552648
138,59401233
138,64297289
138,65829403
266,59786780
266,59546298
266,59387997
266,64280135
266,65824756
522,59767334
522,59534039
522,59379604
522,64256299
522,65799875
1034,59731337
1034,59561853
1034,59401975
1034,64241065
1034,65823241
140,59742718
140,59498104
140,59346633
140,59306255
140,64086431
268,59730058
268,59490318
268,59333327
268,59292943
268,64076065
524,59712686
524,59479206
524,59324889
524,59280220
524,64059356
1036,59676765
1036,59507325
1036,59347447
1036,59303967
1036,64074929
144,59742654
144,59499299
144,59343390
144,59303611
144,59374740
272,59721988
272,59482186
272,59325316
272,59285157
272,59359562
528,59702601
528,59465229
528,59312971
528,59273459
528,59349827
1040,59666860
1040,59499316
1040,59339383
1040,59295853
1040,59368201
152,59726775
152,59482031
152,59330649
152,59290447
152,59354316
280,59714011
280,59474245
280,59317387
280,59277220
280,59349791
536,59696868
536,59463287
536,59309126
536,59265527
536,59329665
1048,59656734
1048,59494432
1048,59329177
1048,59292280
1048,59357991
168,59726563
168,59483297
168,59327375
168,59287489
168,59354316
296,59712122
296,59467725
296,59313258
296,59273425
296,59341113
552,59687543
552,59455117
552,59302182
552,59258325
552,59328618
1064,59654257
1064,59491101
1064,59328778
1064,59284136
1064,59350935
200,59723006
200,59474739
200,59321717
200,59285006
200,59351330
328,59711179
328,59466953
328,59312290
328,59272720
328,59339496
584,59691127
584,59456771
584,59299760
584,59259316
584,59334057
1096,59655224
1096,59485331
1096,59324404
1096,59278823
1096,59350693
146,42844925
146,42657709
146,42458529
146,47391946
146,49055868
274,42838802
274,42645392
274,42448111
274,47374537
274,49044099
530,42779409
530,42595738
530,42402515
530,47319534
530,49027002
1042,42816307
1042,42628227
1042,42444974
1042,47321641
1042,49003668
148,42790248
148,42602957
148,42403929
148,42402153
148,47110927
276,42748247
276,42561729
276,42363562
276,42360319
276,47101390
532,42734997
532,42544140
532,42352880
532,42343078
532,47042719
1044,42769446
1044,42581413
1044,42398233
1044,42369624
1044,47128376
152,42766609
152,42570451
152,42371057
152,42369413
152,42467942
280,42742783
280,42555031
280,42356997
280,42352442
280,42452314
536,42726934
536,42534460
536,42346590
536,42335292
536,42427024
1048,42761537
1048,42573350
1048,42390342
1048,42361770
1048,42453629
160,42751645
160,42559485
160,42378712
160,42358218
160,42456246
288,42734115
288,42547015
288,42349101
288,42344527
288,42384833
544,42741671
544,42552683
544,42360197
544,42350673
544,42417588
1056,42726342
1056,42544720
1056,42361625
1056,42333273
1056,42445737
176,42745520
176,42555990
176,42354900
176,42353261
176,42454881
304,42725872
304,42538761
304,42340931
304,42336364
304,42436197
560,42710975
560,42518388
560,42330509
560,42319234
560,42417588
1072,42714558
1072,42532684
1072,42345655
1072,42317226
1072,42442434
208,42742522
208,42550467
208,42369755
208,42349015
208,42393861
336,42759206
336,42566021
336,42368038
336,42364586
336,42437646
592,42710165
592,42517553
592,42329552
592,42318096
592,42365827
1104,42736785
